#introduction

introduction,i-xiii
organization of the book,
conventions,iii-v
typographical conventions,iii-v
fonts used in book,iii-v
about MODX,v
is MODX for you?,
MODX|history,
history of MODX,
versions of MODX,
MODX|versions,
Evolution versus Revolution,
Revolution|versus Evolution,
which version of MODX to choose,
MODX Evolution,
MODX Revolution,
architecture of MODX,
MODX|architecture,
MODX|key features,
features of MODX,
xPDO,ix
xPdo,x-xi
user interface,
MODX|user interface,
design philosophy of MODX,
MODX|design philosophy,
MODX|object-oriented design,
MODX|core independence,

#Chapter 1 How MODX Works

how MODX works,1
using|a content management system,2
MODX|database,1
third-party components (overview),4
MODX|extras (overview),4
extras|overview,4
MODX|add-on components (overview),4
add-on components|overview,4
3PCs (overview),4
MODX|components (overview),4
components|overview,4
back end versus front end,5
MODX|back end,5
back end,5
front end,5
MODX|front end,5
building blocks of MODX,6-20
basic building blocks of MODX,6-20
MODX|basic building blocks,6-20
web resources,6
documents,7
weblinks,8-9
symlinks,9
static resources|overview,9
creating|resources,6
documents|defined,7
MODX|documents defined,7
resources|creating,6
documents|creating,6
MODX|creating resources,6
documents,7
MODX|resources,7
resource fields,7
document|fields,7
content elements defined,9
elements|defined,9
templates (overview),10
MODX|templates (overview),10
templates (overview),10
template variables (overview),10
template variables|defined,10
MODX|template variables defined,10
tags|resource,11
resource tags,11
chunks|defined,11
MODX|chunks defined,11
Tpl chunks|defined,12
MODX|Tpl chunks defined,12
tags|chunk,11-12
chunk tags,11-12
snippets|defined,12-13
MODX|snippets defined,12-13
snippet tags,12-13
tags|snippet,12-13
MODX|snippet properties defined,12
snippet properties|defined,12
MODX|snippet properties defined,12
back-ticks,12
plugins|defined,13
MODX|plugins defined,13
categories| defined,14
MODX|categories defined,14
placeholders|defined,15
MODX|placeholders defined,15
placeholder tags,15
tags|placeholder,15
links,16
MODX|links,16
link tags,16
tags|link,16
tags,17
MODX|tags,17
Evolution|tags,17
tags|MODX Evolution,17
tags|MODX Revolution,17
MODX|Evolution tags,17
MODX|Revolution tags,17
tags|nested,18
nested tags,18
tag syntax specification,19
MODX|tag syntax specification,19
files|in MODX,19
MODX|files,19
files|MODX,19
core directory,20
MODX|core directory,20
directories|core,20
assets directory,20
MODX|assets directory,20
directories|assets,20
file locations,20
how MODX delivers a web page,21
web page parsing,21
MODX|delivering a web page,21
MODX|parser,21
parser,21
transport packages|defined,22
MODX|transport packages defined,22
Package Manager,22
transport packages,22
namespaces|defined,23
namespaces,23
MODX|namespaces defined,23
lexicon|overview,23-24
MODX|lexicon (overview),23-24
lexicon topics,23-24
topics (lexicon),23-24
lexicon strings|overview,23-24
MODX|lexicon strings,23-24
system settings|defined,25
MODX|system settings defined,25
settings|system,25
setting tags,25
tags|setting,25
contexts|defined,25-26
MODX|contexts defined,25-26
context settings,25-26
settings|context,25-26
mgr context,25-26
contexts|mgr,25-26
contexts|web,25-26
web context,25-26
MODX|mgr context,25-26
MODX|web context,25-26
workspaces,25-26
MODX|workspaces,25-26
contexts|creating,25-26
creating|contexts,25-26
MODX|creating contexts,25-26
user settings,26
settings|user,26
MODX|user settings,26
property sets|defined,27-28
MODX|property sets defined,27-28
cache|overview of,28-29
MODX|cache (overview),28-29
cache|clearing,28
Evolution|elements,31
MODX Evolution|elements,31
elements|in Evolution,31
Evolution|content elements,31
MODX Evolution|content elements,31
content elements in Evolution,31
Evolution|lexicon,32
MODX Evolution|lexicon,32
lexicon|in Evolution,32
